IdBarrio,Nombre,Usuario,FhUltModif
1,Diseño gráfico,PUERTA18\CMoran,2013-08-17 11:04:32.657000000
2,Escuela Secundaria,INSTALLER,2013-10-31 10:22:37.747000000
3,Diseño de Imagen y sonido,INSTALLER,2013-10-31 10:22:37.747000000
4,Diseño de Indumentaria,INSTALLER,2013-10-31 10:22:37.747000000
5,Ingeniería en Sistemas,INSTALLER,2013-10-31 10:22:37.747000000
6,Análisis de Sistemas,INSTALLER,2013-10-31 10:22:37.747000000
7,Diseño gráfico,INSTALLER,2013-10-31 10:22:37.747000000
8,Ingeniería Electrónica,INSTALLER,2013-10-31 10:22:37.747000000
9,Profesorado,INSTALLER,2013-10-31 10:22:37.747000000
10,Arquitectura,INSTALLER,2013-10-31 10:22:37.747000000
11,Animación,INSTALLER,2013-10-31 10:22:37.747000000
12,Diseño Web,INSTALLER,2013-10-31 10:22:37.747000000
13,3D,INSTALLER,2013-10-31 10:22:37.747000000
14,Trabajo Social,INSTALLER,2013-10-31 10:22:37.747000000
15,Comunicación,INSTALLER,2013-10-31 10:22:37.747000000
16,Recreación,INSTALLER,2013-10-31 10:22:37.747000000
17,Educación,INSTALLER,2013-10-31 10:22:37.747000000
18,Periodismo,INSTALLER,2013-10-31 10:22:37.747000000
19,Producción,INSTALLER,2013-10-31 10:22:37.747000000
20,Efectos especiales,INSTALLER,2013-10-31 10:22:37.747000000
21,Diseño Multimedia,INSTALLER,2013-10-31 10:22:37.747000000
22,Programación,INSTALLER,2013-10-31 10:22:37.747000000
23,Ciencia Política,PUERTA18\CMoran,2014-06-14 16:48:58.557000000
24,Administración,PUERTA18\CMoran,2014-06-14 16:53:25.183000000
25,Relaciones del Trabajo,PUERTA18\CMoran,2014-06-14 16:55:13.863000000
26,Otros,PUERTA18\FWaisbaum,2017-07-21 13:24:05.243000000
