IdProyectoSocio,IdProyecto,IdSocio,Observaciones,Terminado,Abandono,FechaInicio,Disponibilidad
1,18,3769,realizo el taller sin ninguna dificultad. Le gusta mucho el programa, y siempre mira tutoriales para que lo ayude aun mas en conocimientos,True,False,2013-06-04 00:00:00,miercoles y sabados
2,20,3587,participo en la grabacion y se esta en cargando de la edición de video,False,False,2013-07-17 00:00:00,martes, miércoles y sábados
3,24,3522,realizo su efecto de poder. Le gusta mucho las cosas que se pueden hacer.,True,False,2013-06-25 00:00:00,martes y viernes
4,2,3522,realizo su efecto de poder ,True,False,2013-06-25 00:00:00,
5,2,3522,realizo su efecto de poder ,True,False,2013-06-25 00:00:00,
6,15,3806,tenia predisposicion para realizar las actividades. Pero le costaba mucho el manejo de herramientas,True,False,2013-04-20 00:00:00,
7,16,2863,quiere seguir adquiriendo mas conocimientos de after, principalmente efectos de intro de videos,True,False,2013-05-22 00:00:00,miercoles y sabados
8,6,3680,Juego de mesa que consiste en la búsqueda de imágenes dentro de un tablero lleno de ilustraciones. Es un juego de competencia donde gana el participante que logra encontrar la mayor cantidad de dibujos en el menor tiempo posible. En la etapa anterior del proyecto se realizaron 120 ilustraciones de animales. En esta segunda etapa, Enrique está realizando la maquetación del proyecto: diseño del tablero, tarjetas y caja contenedora.,False,False,2013-06-04 00:00:00,Todos los dias
15,7,3546,Le gusta editar y tiene facilidad para la actuación. Demanda actividades y talleres para la obtencion de nuevos conocimientos en premiere y after effects,False,False,2013-06-29 00:00:00,viernes sabados
16,8,2963,Este es un alta de prueba,False,False,2013-08-19 00:00:00,
17,8,2912,Este es un alta de pruebafg,True,False,2013-08-19 00:00:00,mar
23,9,3811,buscar otro concurso,True,False,2013-07-02 00:00:00,viernes
24,10,3806,tenia predisposicion para realizar las actividades. Pero le costaba mucho el manejo de herramientas,True,False,2013-04-20 00:00:00,
25,14,3546,realizo todas las actividades sin ningun problema. Tiene como objetivo aprender mucho after para luego utilizarlo en sus producciones de video. ,True,False,2013-04-20 00:00:00,jueves, viernes y sabados
26,17,3815,Aprendio muy rapido. Le parece muy interesante. Y cumplio su deseo, que era hacer poderes. ,True,False,2013-06-26 00:00:00,martes, jueves y viernes
27,19,3854,le puso mucho empeño. Se noto que le gusto lo que estaba haciendo. ,True,False,2013-06-26 00:00:00,
28,19,3531,le parecio muy bueno. Le gusta las cosas que puede aprender con el programa. Le cuesta manejar el entorno de after.,True,False,2013-06-26 00:00:00,martes
29,20,3587,se esta en cargando de la edicion de video,False,False,2013-07-17 00:00:00,martes miercoles y sabados
30,23,3939,,False,False,2013-08-22 00:00:00,
31,25,3810,le interesa aprender algunas cosas en particular, porque quiere hacer una pagina web para su tio.,False,False,2013-08-13 00:00:00,viernes
32,16,3852,realiza las actividades con mucho empeño, y las termina con prolija y precision.,True,False,2013-10-23 00:00:00,
33,16,3875,le gusta experimentar las cosas que se pueden hacer en el programa. ,True,False,2013-10-23 00:00:00,
34,25,3944,quiere aprender animar objetos, cosas. Interactuar con el programa. ,False,False,2013-10-23 00:00:00,
35,16,3804,le gusta realizar muchos efectos. Le encanta experimentar las herramientas y ver que cosas logra. Estuvo en el curso de mattepaint,True,False,2013-10-23 00:00:00,
